keyword,company_name,title,publish_date,article_url
部長,一般財団法人国際災害対策支援機構,2026年7月16日 山岳捜索連携協議会 設立総会を開催,,https://prtimes.jp/main/html/rd/p/000000020.000104656.html
部長,東京コンテンツインキュベーションセンター,ガウマピクス株式会社 代表・山口ヒロキが「太秦 NINJA PITCH 2026」にて最優秀賞・東映賞をダブル受賞,,https://prtimes.jp/main/html/rd/p/000000046.000161381.html
部長,ENEOS株式会社,ENEOSとドイツのGerman eFuel One、合成燃料分野で戦略的協業を開始,,https://prtimes.jp/main/html/rd/p/000000119.000039980.html
部長,株式会社日本計画研究所,【JPIセミナー】千代田化工建設(株)「CCS事業化を実現するバリューチェーン設計の実務 ～液化CO₂輸送、インターフェース設計、全体最適化のポイント～」7月30日(木)開催,,https://prtimes.jp/main/html/rd/p/000001876.000042328.html
部長,公益財団法人国際花と緑の博覧会記念協会,2026年（第33回）コスモス国際賞受賞者が決定しました,,https://prtimes.jp/main/html/rd/p/000000035.000144319.html
部長,一般社団法人起業家アート協会,ビジネスとアートが交わる、実践者たちの集い。 起業家アート協会、年に一度の『THE ENTREPRENEUR ART DAY 2026』を8月24日 Tokyo Innovation Baseにて開催,,https://prtimes.jp/main/html/rd/p/000000007.000184247.html
部長,公益財団法人野球殿堂博物館,野球の学校2026　公式記録員が教える「NPB式スコアの付け方」教室（上級編）,,https://prtimes.jp/main/html/rd/p/000000155.000065589.html
部長,公益財団法人日本陸上競技連盟,【参加者募集】日本陸連セミナー「免疫からみたアスリートのコンディショニング」,,https://prtimes.jp/main/html/rd/p/000000794.000025141.html
部長, GREEN×EXPO協会,GREEN×EXPO 2027　第３回「人・自然・生命」シンポジウム「次世代に贈る社会~パラダイムシフト~」を開催します,,https://prtimes.jp/main/html/rd/p/000000128.000097656.html
部長,株式会社さとゆめ,地方創生プロデュースのさとゆめ 取締役COO 浅原武志が、福井県若狭町主催のトークセッション「自然と文化を活かした観光まちづくり」に登壇,,https://prtimes.jp/main/html/rd/p/000000154.000050855.html
部長,株式会社エムステージ,"7/23(木)本質から考える""人的資本経営""　従業員が「自ら動き、辞めずに働き続ける」職場の条件《可視化》《仕組み》《コミュニケーション》　共催ウェビナー",,https://prtimes.jp/main/html/rd/p/000000081.000137317.html
部長,和建設株式会社,ホテル×サウナ×ビューティ。新しいリゾートステイが始まる,,https://prtimes.jp/main/html/rd/p/000000013.000182551.html
部長,住友林業株式会社,住友林業とマゼックス、林業向け運搬ドローンの普及を加速～担い手不足・高齢化が進む林業現場の負担軽減へ～,,https://prtimes.jp/main/html/rd/p/000000289.000052275.html
部長,威志企管顧問股ｲ分有限公司（ワイズコンサルティンググループ）,【台湾情報】〜2026年在台日系企業給与動向〜「日系企業の給与水準停滞とベースアップ昇給の急増」／ワイズリサーチの業界レポート,,https://prtimes.jp/main/html/rd/p/000000366.000059899.html
部長,IVRy,IVRyがカンファレンス「Voice to Value 2026 夏」を開催,,https://prtimes.jp/main/html/rd/p/000000274.000056805.html
部長,Nextorage,NextorageとJRPがパートナーシップ契約を締結,,https://prtimes.jp/main/html/rd/p/000000194.000089028.html
部長,株式会社角川アスキー総合研究所,角川アスキー総合研究所が運営事務局を務める特許庁の知財アワード「第8回 IP BASE AWARD」を開催,,https://prtimes.jp/main/html/rd/p/000000247.000017610.html
部長,島根電工株式会社,【事後レポート】厚労省等も視察！新拠点「島根電工グループ　みらい共創-自鳴-ラボ」第1号利用となる江津工業高校×島根電工の産学連携授業を開催,,https://prtimes.jp/main/html/rd/p/000000034.000162243.html
部長,一般社団法人アーバニスト,サステナブルシティ・サミット６開催決定！多様な価値が織りなすサステナブルシティ,,https://prtimes.jp/main/html/rd/p/000000021.000071034.html
部長,株式会社ビジュアルアーツ,VISUAL ARTS Scripts第一弾『サヤガタリ-妖刀の約束-』本日予約開始！発売日は9月25日（金）に決定,,https://prtimes.jp/main/html/rd/p/000000090.000147227.html
部長,株式会社タイムレス,【TIMELESS AUCTION 10周年】リユース業界の株式会社タイムレス10周年を記念して本年は平場（リアル）オークション周年祭を拡大！,,https://prtimes.jp/main/html/rd/p/000000096.000146306.html
部長,GRAND,"【GRAND独自調査】GRAND視聴者の約3人に1人が「出張・移動が多い層」｜この層は部長クラス以上が全体の約2.1倍(n=1,036)",,https://prtimes.jp/main/html/rd/p/000000100.000047349.html
部長,ナハト,ナハト、ワンキャリア主催「採用ウルトラキャンプ」のスポンサーセッション詳細を公開！,,https://prtimes.jp/main/html/rd/p/000000123.000063127.html
部長,一般社団法人ライズカンサイ,ビジネス＆カルチャーカンファレンス「RISE KANSAI 2026」タイムテーブルを発表。ユーグレナ出雲充氏、さくらインターネット田中邦裕氏、シンガーソングライターMINMI氏など多彩なゲストが登場,,https://prtimes.jp/main/html/rd/p/000000012.000165475.html
部長,関西大学,◆関西大学体育会サッカー部から新たなJリーガーが誕生！◆ 真田 蓮司さんが北海道コンサドーレ札幌に加入内定 ～閃きと技術で試合を決めるダイナモ～,,https://prtimes.jp/main/html/rd/p/000000299.000013058.html
部長,株式会社ワンキャリア,ワンキャリア主催「採用ウルトラキャンプ2026 in 京都」DIAMONDスポンサーによるセッションが決定！,,https://prtimes.jp/main/html/rd/p/000000357.000035321.html
部長,株式会社MAYAビジネスソリューションズ,MAYA TECHNOLOGIES GROUP、宮城県で「教育支援プロジェクト」を始動,,https://prtimes.jp/main/html/rd/p/000000012.000122601.html
部長,株式会社東京流通センター,ＮＡＮＫＡＩ・東京流通センター・三菱地所が物流効率化に向けて基本合意,,https://prtimes.jp/main/html/rd/p/000000056.000091164.html
部長,株式会社Leaner Technologies,日本最大級の調達・購買部門向けのカンファレンス「調達DXカンファレンス2026夏」開催〜「モノを買う」から「経営を動かす戦略」へ。地政学リスクやAI時代を生き抜く「解」を導く全17セッションを実施～,,https://prtimes.jp/main/html/rd/p/000000237.000044088.html
部長,株式会社いーふらん,【無料査定】夏前の断捨離に！ 「おたからや」催事買取イベントを7月下旬より全国7か所で開催,,https://prtimes.jp/main/html/rd/p/000000292.000080252.html
部長,株式会社ニューオータニ九州,【ホテルニューオータニ佐賀】開業50周年を祝う、一夜限りのガラディナーを開催,,https://prtimes.jp/main/html/rd/p/000000296.000027824.html
部長,オープン株式会社,AI時代に生き残るRPAは2つだけ！ OPEN×ＦＣＥが7/22にWEBセミナーを共催,,https://prtimes.jp/main/html/rd/p/000000415.000011515.html
部長,株式会社Nature Innovation Group,関西初！晴雨兼用の「日傘シェアリング」を関西の主要駅でサービス提供開始。鉄道会社8社と「COOL MOVE OSAKA」メディア向け発表会を開催。,,https://prtimes.jp/main/html/rd/p/000000228.000036740.html
部長,株式会社マゼックス,マゼックス、住友林業との連携により林業向け運搬ドローンの普及を加速,,https://prtimes.jp/main/html/rd/p/000000071.000044345.html
部長,株式会社エンファクトリー,製造業は売り先が9割　営業にも広告にも頼らない拡販メソッド「用途開発」セミナーを開催します,,https://prtimes.jp/main/html/rd/p/000000359.000025659.html
部長,株式会社ラフール,【7/23開催】ラフール、ZENTech社共催セミナー「なぜ管理職は動かないのか？」〜3億データ×心理的安全性で解く、マネジメント変革の処方箋〜,,https://prtimes.jp/main/html/rd/p/000000350.000042113.html
部長,マジセミ株式会社,『AIを導入しても、業務KPIが改善しない企業には何が足りないのか』というテーマのウェビナーを開催,,https://prtimes.jp/main/html/rd/p/000005463.000054842.html
部長,税理士法人チェスター,【国税OBが徹底解説】『令和8年6月 最高裁の重要税務判決と相続法制』を配信開始,,https://prtimes.jp/main/html/rd/p/000000041.000015160.html
部長,国立大学法人岡山大学,【岡山大学】TCカレッジ医工系コース上級カリキュラム「令和8年度医工講究」～技術職員の高度専門人材への取り組みについて～,,https://prtimes.jp/main/html/rd/p/000004135.000072793.html
部長,株式会社グローバルクラウドエステート,不動産クラファン『CAMEL』、「THE GOLD ONLINE フェス2026 SUMMER」に出展　杉原杏璃さん登壇の特別セミナーも開催,2026-07-16,https://prtimes.jp/main/html/rd/p/000000148.000136212.html
部長,SHA,スリープ×テクノロジーが、眠っている市場を、起こす。「よく眠る国」が、強い国になる。,2026-07-16,https://prtimes.jp/main/html/rd/p/000000017.000137392.html
部長,グリーンメチル,グリーンメチル、AI導入だけでは組織は変わらない―経営者・役員・人事責任者向け無料ウェビナーを7月22日に開催,2026-07-16,https://prtimes.jp/main/html/rd/p/000000067.000126627.html
部長,AndTech,8月31日(月)AndTech「医薬品包装におけるバイオマスPTPシートの開発とマテリアルリサイクル～使用済みPTPの回収・分離・再生材の商品化まで～」WEBオンライン Zoomセミナー講座を開講予定,2026-07-16,https://prtimes.jp/main/html/rd/p/000001729.000080053.html
部長,LINEヤフー株式会社,海へ飛び出すその前に！海上保安庁×LINEヤフーが「海難防止」に向けて共同施策を開始,2026-07-16,https://prtimes.jp/main/html/rd/p/000001765.000129774.html
部長,株式会社OTOGI,【OTOGI導入事例】1年で5名採用（うち1名は部長クラス）！ハイクラス人材も獲得したミライズの「理念共感型」採用の裏側を公開,2026-07-16,https://prtimes.jp/main/html/rd/p/000000018.000136858.html
部長,株式会社nanameism,AI時代のキャリアを救う「斜めの関係」とは？　元読売新聞生活部長の起業家が、松屋広報部長・盛岡駅ビル店長と語る無料オンラインセミナーを8月6日(木)に開催！,2026-07-16,https://prtimes.jp/main/html/rd/p/000000001.000186388.html
部長,台湾エクセレンス,台湾エクセレンス受賞製品が「2026 Taiwan Expo」に登場！「台湾エクセレンスパビリオン」2026年Taiwan Expoスペシャルトークイベント＆自由内覧会を開催！,2026-07-16,https://prtimes.jp/main/html/rd/p/000000055.000073546.html
部長,株式会社リンプレス,DX担当者向けウェビナー「DX推進人材に必要なビジネス変革スキルとは」を開催（7月22日12:00-13:00）株式会社リンプレス,2026-07-16,https://prtimes.jp/main/html/rd/p/000000109.000086655.html
部長,GRAND,"【GRAND独自調査】GRAND視聴者の約2人に1人が「教育投資・子育て層」｜子どもの教育にお金をかけたい層は48.0%(n=1,036)",2026-07-16,https://prtimes.jp/main/html/rd/p/000000099.000047349.html
部長,パナソニック ホームズ株式会社,デザイン提案力に優れた全18例を表彰　『2025年度アーキテクト・オブ・ザ・イヤー』を開催,2026-07-16,https://prtimes.jp/main/html/rd/p/000000261.000022927.html
部長,StoryHub株式会社,文春オンライン・ビュートピア・ダイヤモンド・扶桑社ら4編集部が登壇。AI時代の「編集の現場」を語る無料イベントを8月4日開催,2026-07-16,https://prtimes.jp/main/html/rd/p/000000048.000133529.html
